Unnamed: 0,NewsID,Title,Link,Source,StartDate,EndDate,Label
0,1,Says Osama bin Laden endorsed Joe Biden,https://www.politifact.com/factchecks/2023/jun/19/donald-trump-jr/no-osama-bin-laden-did-not-endorse-joe-biden/,Donald Trump Jr.,"June 18, 2023","June 19, 2023",FALSE
2,3,Says Tim Tebow “kneeled in protest of abortion during the National Anthem in 2012. He was praised by fans as being a ‘model American.’”,https://www.politifact.com/factchecks/2023/jun/19/facebook-posts/no-tim-tebow-didnt-kneel-during-national-anthem/,Facebook posts,"June 12, 2023","June 19, 2023",FALSE
15,16,"Nazi Germany’s Hermann Göring worked to ""defund and eliminate the police departments so that they would not interfere with his Brown Shirts.""",https://www.politifact.com/factchecks/2023/jun/18/instagram-posts/social-posts-comparing-defund-police-nazi-germany-/,Instagram posts,"June 14, 2023","June 18, 2023",FALSE
27,28,"Says photo of beaten woman is Aracely Henriquez, a pregnant woman who George Floyd assaulted during an armed robbery.",https://www.politifact.com/factchecks/2023/jun/16/instagram-posts/no-photo-doesnt-show-woman-george-floyd-allegedly-/,Instagram posts,"June 14, 2023","June 16, 2023",FALSE
29,30,"""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma ?it's declined precipitously.""",https://www.politifact.com/factchecks/2023/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,Mike Pence,"June 15, 2023","June 16, 2023",FALSE
37,38,"Donald Trump is recruiting “excited and enthusiastic MINORITY actors and actresses?to appear at his campaign rally in Tulsa, Okla.",https://www.politifact.com/factchecks/2023/jun/15/viral-image/history-hoaxes-fake-craigslist-ads-solicit-minorit/,Viral image,"June 15, 2023","June 15, 2023",FALSE
52,53,Says photo shows that Chick-fil-A distributed “Back the Blue?T-shirts to employees in response to recent protests over police brutality.,https://www.politifact.com/factchecks/2023/jun/11/facebook-posts/photo-chick-fil-employees-back-blue-shirts-taken-o/,Facebook posts,"June 2, 2023","June 11, 2023",FALSE
63,64,"""Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment ... Was aiming scanner. Could be a set up?""",https://www.politifact.com/factchecks/2023/jun/09/donald-trump/trumps-baseless-conspiracy-about-protester-shoved-/,Donald Trump,"June 9, 2023","June 9, 2023",FALSE
64,65,"A man’s injuries from falling after police officers shoved him in Buffalo, N.Y. were staged.",https://www.politifact.com/factchecks/2023/jun/09/viral-image/no-evidence-buffalo-protesters-injuries-were-stage/,Viral image,"June 5, 2023","June 9, 2023",FALSE
69,70,"Says Joe Biden wants to ""defund the police.""",https://www.politifact.com/factchecks/2023/jun/09/donald-trump/biden-campaign-says-he-doesnt-want-defund-police/,Donald Trump,"June 7, 2023","June 9, 2023",FALSE
78,79,"The man pictured in a mugshot is not Derek Chauvin, the officer who was recorded kneeling on George Floyd’s neck.",https://www.politifact.com/factchecks/2023/jun/05/viral-image/no-these-two-photos-derek-chauvin-dont-show-two-di/,Viral image,"June 4, 2023","June 5, 2023",FALSE
84,85,Says a photo shows a memorial vandalized by Black Lives Matter protesters.,https://www.politifact.com/factchecks/2023/jun/04/facebook-posts/vietnam-memorial-was-not-vandalized-black-lives-ma/,Facebook posts,"June 3, 2023","June 4, 2023",FALSE
88,89,“You see suicide rates are skyrocketing now…”,https://www.politifact.com/factchecks/2023/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/,Tim Murtaugh,"May 26, 2023","June 4, 2023",FALSE
90,91,Photos show cemeteries and war memorials damaged during George Floyd demonstrations.,https://www.politifact.com/factchecks/2023/jun/04/viral-image/only-one-sites-these-photos-was-damaged-during-dem/,Viral image,"June 1, 2023","June 4, 2023",FALSE
93,94,Says Joe Biden’s presidential campaign donated $20 million to bail out protesters.,https://www.politifact.com/factchecks/2023/jun/03/facebook-posts/no-joe-bidens-campaign-didnt-donate-20-million-bai/,Facebook posts,"May 31, 2023","June 3, 2023",FALSE
100,101,A photo shows Adolf Hitler holding a Bible like Donald Trump.,https://www.politifact.com/factchecks/2023/jun/02/viral-image/photo-adolf-hitler-was-doctored/,Viral image,"June 2, 2023","June 2, 2023",FALSE
107,108,BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20,https://www.politifact.com/factchecks/2023/jun/02/facebook-posts/black-lives-matter-activists-are-not-planning-riot/,Facebook posts,"June 1, 2023","June 2, 2023",FALSE
114,115,George Floyd’s death and the ensuing protests were planned to introduce martial law and “purge?the United States.,https://www.politifact.com/factchecks/2023/jun/01/viral-image/protests-over-george-floyds-death-are-real/,Viral image,"June 1, 2023","June 1, 2023",FALSE
117,118,"Says George Soros is ""funding the chaos"" in Minneapolis via his Open Society Foundations.",https://www.politifact.com/factchecks/2023/jun/01/candace-owens/no-soros-and-foundation-do-not-pay-people-protest/,Candace Owens,"May 28, 2023","June 1, 2023",FALSE
127,128,"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.",https://www.politifact.com/factchecks/2023/may/29/facebook-posts/no-ohio-gov-mike-dewine-did-not-release-4300-priso/,Facebook posts,"May 16, 2023","May 29, 2023",FALSE
