,NewsID,Title,Link,Source,StartDate,EndDate,Label
0,1,Says Osama bin Laden endorsed Joe Biden,https://www.politifact.com/factchecks/2023/jun/19/donald-trump-jr/no-osama-bin-laden-did-not-endorse-joe-biden/,Donald Trump Jr.," June 18, 2023"," June 19, 2023",FALSE
2,3,Says Tim Tebow “kneeled in protest of abortion during the National Anthem in 2012. He was praised by fans as being a ‘model American.’”,https://www.politifact.com/factchecks/2023/jun/19/facebook-posts/no-tim-tebow-didnt-kneel-during-national-anthem/,Facebook posts," June 12, 2023"," June 19, 2023",FALSE
5,6,Says before he planned a rally on June 19 “nobody had ever heard of?Juneteenth.,https://www.politifact.com/factchecks/2023/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,Donald Trump," June 17, 2023"," June 18, 2023",pants-fire
11,12,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,https://www.politifact.com/factchecks/2023/jun/18/monica-wallace/do-two-months-coronavirus-deaths-exceed-number-dru/,Monica Wallace," June 8, 2023 "," June 18, 2023",TRUE
15,16,"Nazi Germany’s Hermann Göring worked to ""defund and eliminate the police departments so that they would not interfere with his Brown Shirts.""",https://www.politifact.com/factchecks/2023/jun/18/instagram-posts/social-posts-comparing-defund-police-nazi-germany-/,Instagram posts," June 14, 2023"," June 18, 2023",FALSE
19,20,Says the state of Maryland issued these Independence Day 2023 safety guidelines.,https://www.politifact.com/factchecks/2023/jun/17/facebook-posts/maryland-july-4th-safety-guidelines-poster-fake/,Facebook posts," June 14, 2023"," June 17, 2023",pants-fire
22,23,A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.,https://www.politifact.com/factchecks/2023/jun/17/facebook-posts/was-race-only-difference-sentencing-two-defendants/,Facebook posts," June 11, 2023"," June 17, 2023",mostly-true
23,24,"There are state workers who are ""idle"" at home during the coronavirus pandemic.",https://www.politifact.com/factchecks/2023/jun/17/scott-walker/claim-state-workers-are-being-paid-sit-idle-home-l/,Scott Walker," June 5, 2023 "," June 17, 2023",half-true
27,28,"Says photo of beaten woman is Aracely Henriquez, a pregnant woman who George Floyd assaulted during an armed robbery.",https://www.politifact.com/factchecks/2023/jun/16/instagram-posts/no-photo-doesnt-show-woman-george-floyd-allegedly-/,Instagram posts," June 14, 2023"," June 16, 2023",FALSE
29,30,"""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma ?it's declined precipitously.""",https://www.politifact.com/factchecks/2023/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,Mike Pence," June 15, 2023"," June 16, 2023",FALSE
37,38,"Donald Trump is recruiting “excited and enthusiastic MINORITY actors and actresses?to appear at his campaign rally in Tulsa, Okla.",https://www.politifact.com/factchecks/2023/jun/15/viral-image/history-hoaxes-fake-craigslist-ads-solicit-minorit/,Viral image," June 15, 2023"," June 15, 2023",FALSE
39,40,"“N95 masks block few, if any?COVID-19 particles due to their size.",https://www.politifact.com/factchecks/2023/jun/15/facebook-posts/claim-n95-masks-cant-stop-covid-19-particles-due-s/,Facebook posts," June 4, 2023 "," June 15, 2023",pants-fire
41,42,Says Robert E. Lee opposed slavery and secession and has come to symbolize both slavery and secession.,https://www.politifact.com/factchecks/2023/jun/12/facebook-posts/fact-checking-claims-about-robert-e-lees-position-/,Facebook posts," May 26, 2019 "," June 12, 2023",barely-true
47,48,"Nancy Pelosi ordered a 220-seat Boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually.",https://www.politifact.com/factchecks/2023/jun/12/facebook-posts/no-nancy-pelosi-does-not-fly-200-seat-boeing-757-j/,Facebook posts," March 25, 202"," June 12, 2023",FALSE
52,53,Says photo shows that Chick-fil-A distributed “Back the Blue?T-shirts to employees in response to recent protests over police brutality.,https://www.politifact.com/factchecks/2023/jun/11/facebook-posts/photo-chick-fil-employees-back-blue-shirts-taken-o/,Facebook posts," June 2, 2023 "," June 11, 2023",FALSE
60,61,Says a photograph shows U.S. soldiers sleeping on the ground after Washington D.C.’s mayor kicked them out of local hotels.,https://www.politifact.com/factchecks/2023/jun/10/viral-image/national-guard-soldiers-werent-forced-sleep-dc-str/,Viral image," June 6, 2023 "," June 10, 2023",barely-true
63,64,"""Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment ... Was aiming scanner. Could be a set up?""",https://www.politifact.com/factchecks/2023/jun/09/donald-trump/trumps-baseless-conspiracy-about-protester-shoved-/,Donald Trump," June 9, 2023 "," June 9, 2023",FALSE
64,65,"A man’s injuries from falling after police officers shoved him in Buffalo, N.Y. were staged.",https://www.politifact.com/factchecks/2023/jun/09/viral-image/no-evidence-buffalo-protesters-injuries-were-stage/,Viral image," June 5, 2023 "," June 9, 2023",FALSE
65,66,"Says Donald Trump won the Ellis Island award for ""patriotism, tolerance, brotherhood and diversity?alongside Muhammad Ali and Rosa Parks.",https://www.politifact.com/factchecks/2023/jun/09/facebook-posts/trumps-ellis-island-award-1980s-was-not-brotherhoo/,Facebook posts," September 10,"," June 9, 2023",FALSE
